text,sentiment
"I love this product, it works perfectly!",positive
"This is the worst experience I have ever had.",negative
"The service was okay, nothing special.",neutral
"Absolutely fantastic quality and fast delivery!",positive
"I am very disappointed with the customer support.",negative
"It does what it is supposed to do.",neutral
"Highly recommend this to everyone!",positive
"Total waste of money.",negative
"Average performance, could be better.",neutral
"Excellent experience, will buy again.",positive
"Not happy with the product.",negative
"The packaging was fine, delivery was on time.",neutral
"Superb design and amazing usability.",positive
"Poor quality and bad finishing.",negative
"It’s acceptable for the price.",neutral
"Loved it, exceeded my expectations!",positive
"Terrible, I want a refund.",negative
"Nothing extraordinary, just normal.",neutral
"Very satisfied with the purchase.",positive
"Completely useless product.",negative
